contract_number,contract_date,law_type,contract_subject,contract_value,contract_period_start,contract_period_end,extracted_work_count,work_count_confidence,relevance_confidence,source_url,source_platform
67708737490160000270000,2016-02-25,223,"Услуги по ремонту и техническому обслуживанию прочего оборудования общего назначения, не включенного в другие группировки",12589769,,,,,0.7,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=1314643,checko_contracts
67708737490160000780000,2016-05-04,223,Услуги по ремонту и техническому обслуживанию прочего оборудования специального назначения,8287261,,,,,0.7,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=1607436,checko_contracts
67708737490160001850000,2016-08-22,223,Услуги по ремонту и техническому обслуживанию прочего оборудования специального назначения,2765920,,,,,0.7,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2462609,checko_contracts
67708737490170000210000,2017-01-24,223,Выполнение работ по ремонту оборудования для ремонта грузовых вагонов,1036494,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2901775,zakupki.gov.ru
67708737490170000080000,2017-01-26,223,Выполнение работ по ремонту оборудования для ремонта грузовых вагонов,2022162,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2851059,zakupki.gov.ru
67708737490170000310000,2017-02-28,223,Выполнение работ по техническому обслуживанию компрессоров,18662883,,,,,0.7,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=4299702,zakupki.gov.ru
67708737490170001040000,2017-05-30,223,"Выполнение работ по сервисному обслуживанию устройств диагностики тормозного оборудования производства ОАО«Транспневматика», ОАО МТЗ «Трансмаш», ОЗТЭ Центр «Транспорт» и ЗАО НПП «ТОРМО»",23030867,,,,,0.7,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=4099590,zakupki.gov.ru
