contract_number,contract_date,law_type,contract_subject,contract_value,contract_period_start,contract_period_end,extracted_work_count,work_count_confidence,relevance_confidence,source_url,source_platform
67708737490160001030000,2016-06-15,223,"Услуги по ремонту и техническому обслуживанию инструментов и приборов для измерения, испытаний и навигации",319485,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=1784952,checko_contracts
67708737490160001050000,2016-06-23,223,"Услуги по ремонту и техническому обслуживанию инструментов и приборов для измерения, испытаний и навигации",358460,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=1807221,checko_contracts
67708737490160001110000,2016-07-07,223,Услуги по техническим испытаниям и анализу прочие,3095528,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=1889630,checko_contracts
67708737490160001360000,2016-07-25,223,Услуги по реконструкции или ремонту железнодорожных путей,1300000,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=1944990,checko_contracts
67708737490160001420000,2016-07-28,223,Услуги в области административного и вспомогательного обслуживания,6195000,,,,,0.55,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=1983582,checko_contracts
67708737490160001410000,2016-08-03,223,Услуги по ремонту и техническому обслуживанию прочего оборудования специального назначения,944000,,,,,0.7,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=1983348,checko_contracts
67708737490160001810000,2016-08-22,223,Услуги по ремонту и техническому обслуживанию подъемно-транспортного оборудования,590000,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2461945,checko_contracts
67708737490160001850000,2016-08-22,223,Услуги по ремонту и техническому обслуживанию прочего оборудования специального назначения,2765920,,,,,0.7,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2462609,checko_contracts
67708737490160001870000,2016-09-05,223,Услуги по ремонту и техническому обслуживанию подъемно-транспортного оборудования,302098,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2464227,checko_contracts
67708737490160001830000,2016-09-14,223,Услуги по ремонту и техническому обслуживанию подъемно-транспортного оборудования,807120,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2462251,checko_contracts
67708737490160001840000,2016-09-14,223,Услуги по ремонту и техническому обслуживанию подъемно-транспортного оборудования,896800,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2462499,checko_contracts
67708737490160001580000,2016-09-28,223,Услуги по техническим испытаниям и анализу прочие,757560,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2226140,checko_contracts
67708737490160001630000,2016-10-18,223,Услуги по ремонту прочего оборудования,800000,,,,,0.55,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2274873,checko_contracts
67708737490160001640000,2016-10-18,223,Услуги по обслуживанию помещений комплексные,1914000,,,,,0.55,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2274932,checko_contracts
67708737490160001820000,2016-10-28,223,Услуги по ремонту и техническому обслуживанию подъемно-транспортного оборудования,201780,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2462084,checko_contracts
67708737490160001660000,2016-11-01,223,Услуги по технической поддержке информационных технологий,3540000,,,,,0.55,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2323904,checko_contracts
67708737490160001680000,2016-11-08,223,Услуги по ремонту и техническому обслуживанию подъемно-транспортного оборудования,570000,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2336466,checko_contracts
67708737490160002000000,2016-12-14,223,Услуги по ремонту прочего оборудования,4490434,,,,,0.55,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2577927,checko_contracts
67708737490160001920000,2016-12-19,223,Услуги по техническим испытаниям и анализу прочие,15000000,,,,,0.85,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2543774,checko_contracts
67708737490160001990000,2016-12-23,223,Услуги по ремонту прочего оборудования,6983667,,,,,0.55,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=2576405,checko_contracts
